Income Group,Traffic Exposure by Income Group
Low-income,4740.517736
Mid-income,3210.099783
High-income,2022.800817
,
,
Minority Group,Traffic Exposure by Minority Group
Low-Minority,1573.557719
Mid-Minority,3837.349467
High-Minority,3623.861566
